Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A
F1,3/14/2026,,Angers,Nice,3.15,3.3,2.36
I1,3/14/2026,,Verona,Genoa,3.25,3.05,2.47
SP1,3/14/2026,,Oviedo,Valencia,2.9,3.2,2.6
D1,3/15/2026,,Werder Bremen,Mainz,2.34,3.55,3.05
D1,3/15/2026,,Freiburg,Union Berlin,2.22,3.3,3.5
D1,3/15/2026,,Stuttgart,RB Leipzig,2.32,3.95,2.8
E0,3/15/2026,,Crystal Palace,Leeds,2.35,3.25,3.05
F1,3/15/2026,,Rennes,Lille,2.4,3.45,3
I1,3/15/2026,,Pisa,Cagliari,2.55,3.1,3.05
I1,3/15/2026,,Sassuolo,Bologna,2.75,3.35,2.7
I1,3/15/2026,,Como,Roma,2.2,3.35,3.45
P1,3/15/2026,,Nacional,Estoril,2.44,3.55,2.7
P1,3/15/2026,,Rio Ave,Estrela,2.3,3.35,3.05
SP1,3/15/2026,,Mallorca,Espanol,2.41,3.15,3.25
SP1,3/15/2026,,Betis,Celta,2.24,3.3,3.45
SP2,3/15/2026,,Sp Gijon,Castellon,2.7,3.3,2.45
